measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Colombia,Male,Under 5,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Female,Under 5,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Both,Under 5,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Male,Early Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Female,Early Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Both,Early Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Male,Late Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Female,Late Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Both,Late Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Male,Post Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Female,Post Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Both,Post Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Male,1 to 4,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Female,1 to 4,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Both,1 to 4,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Male,5 to 9,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Female,5 to 9,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Both,5 to 9,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Male,10 to 14,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Female,10 to 14,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Both,10 to 14,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Male,15 to 19,Ischemic heart disease,Number,2019,99.36136086748418,213.80792667307895,14.774492490643048
Incidence,Colombia,Female,15 to 19,Ischemic heart disease,Number,2019,76.21289701406364,166.36104273562466,10.956040268237915
Incidence,Colombia,Both,15 to 19,Ischemic heart disease,Number,2019,175.57425788154785,375.60599918217065,35.90147942694401
Incidence,Colombia,Male,20 to 24,Ischemic heart disease,Number,2019,332.2696415658969,502.6460058258387,201.75586848540217
Incidence,Colombia,Female,20 to 24,Ischemic heart disease,Number,2019,242.74683559015915,379.52264049448036,137.98046009579278
Incidence,Colombia,Both,20 to 24,Ischemic heart disease,Number,2019,575.0164771560561,869.7993574876257,351.65211744776707
Incidence,Colombia,Male,25 to 29,Ischemic heart disease,Number,2019,562.9887442796712,825.5596292282571,339.5334166273327
Incidence,Colombia,Female,25 to 29,Ischemic heart disease,Number,2019,400.7863383989609,587.1709185369536,237.67767444456658
Incidence,Colombia,Both,25 to 29,Ischemic heart disease,Number,2019,963.7750826786321,1408.7608024122035,594.0961713350115
Incidence,Colombia,Male,30 to 34,Ischemic heart disease,Number,2019,711.4571055546971,969.2887892786695,484.60825393698167
Incidence,Colombia,Female,30 to 34,Ischemic heart disease,Number,2019,458.6798880567968,630.6677576155488,299.4591580734808
Incidence,Colombia,Both,30 to 34,Ischemic heart disease,Number,2019,1170.136993611494,1576.8461715054934,784.4030090109594
Incidence,Colombia,Male,35 to 39,Ischemic heart disease,Number,2019,867.3577805827376,1278.84294573407,565.5369270448164
Incidence,Colombia,Female,35 to 39,Ischemic heart disease,Number,2019,495.5540724434381,773.2827477164242,297.20479732086005
Incidence,Colombia,Both,35 to 39,Ischemic heart disease,Number,2019,1362.9118530261755,2035.5638712175835,875.2570247710829
Incidence,Colombia,Male,40 to 44,Ischemic heart disease,Number,2019,1400.3323658160214,1825.697262258055,1050.3464176784385
Incidence,Colombia,Female,40 to 44,Ischemic heart disease,Number,2019,766.8956792221521,1036.7270063302065,538.3324279939123
Incidence,Colombia,Both,40 to 44,Ischemic heart disease,Number,2019,2167.228045038173,2847.6211564464215,1595.9174801801998
Incidence,Colombia,Male,45 to 49,Ischemic heart disease,Number,2019,2365.858621546277,3314.9854999125064,1626.1488381425102
Incidence,Colombia,Female,45 to 49,Ischemic heart disease,Number,2019,1320.5894414005013,1826.7863017522443,897.2839333277137
Incidence,Colombia,Both,45 to 49,Ischemic heart disease,Number,2019,3686.448062946779,5074.8171924954295,2526.7811144018406
Incidence,Colombia,Male,50 to 54,Ischemic heart disease,Number,2019,4064.7076517084793,5211.619237496911,3121.541306503071
Incidence,Colombia,Female,50 to 54,Ischemic heart disease,Number,2019,2398.4810802275847,3067.4000608428782,1825.132040822495
Incidence,Colombia,Both,50 to 54,Ischemic heart disease,Number,2019,6463.188731936064,8195.339261247933,5032.630802636328
Incidence,Colombia,Male,55 to 59,Ischemic heart disease,Number,2019,5787.335097432556,8054.617485656411,3994.559638299784
Incidence,Colombia,Female,55 to 59,Ischemic heart disease,Number,2019,3587.1330390565554,4992.86058519124,2393.8582065386036
Incidence,Colombia,Both,55 to 59,Ischemic heart disease,Number,2019,9374.468136489111,12977.521733242562,6462.899792699318
Incidence,Colombia,Male,60 to 64,Ischemic heart disease,Number,2019,6474.094959241985,8386.785803653449,5006.907066037723
Incidence,Colombia,Female,60 to 64,Ischemic heart disease,Number,2019,4295.22120341485,5559.797024083619,3277.701967491441
Incidence,Colombia,Both,60 to 64,Ischemic heart disease,Number,2019,10769.316162656833,13844.679687076521,8385.502228236419
Incidence,Colombia,Male,65 to 69,Ischemic heart disease,Number,2019,6399.446640306072,8291.511202161591,4704.757988055666
Incidence,Colombia,Female,65 to 69,Ischemic heart disease,Number,2019,4468.878371807974,5898.750568255622,3154.5197262268016
Incidence,Colombia,Both,65 to 69,Ischemic heart disease,Number,2019,10868.325012114046,14075.260168130322,7854.450064945995
