"location","sex","age","cause","metric","year","measure","lower","upper","val"
"Colombia","Both","<1 year","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Both","<1 year","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Both","<20 years","Hypertensive heart disease","Number",2019,"Incidence",0.535093851713826,2.69692795057872,1.36595182791104
"Colombia","Both","<20 years","Hypertensive heart disease","Number",2019,"Prevalence",1.41874311157184,7.15061094429366,3.62167261010539
"Colombia","Both","<70 years","Hypertensive heart disease","Number",2019,"Incidence",1816.45639874883,4120.63730162518,2803.00697006709
"Colombia","Both","<70 years","Hypertensive heart disease","Number",2019,"Prevalence",17429.91957127,39539.8297471787,26896.4265146308
"Colombia","Both","0 to 14","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Both","0 to 14","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Both","0 to 9","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Both","0 to 9","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Both","1 to 4","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Both","1 to 4","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Both","10 to 14","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Both","10 to 14","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Both","10 to 24","Hypertensive heart disease","Number",2019,"Incidence",8.60186158579148,33.3870511394653,18.9081342703144
"Colombia","Both","10 to 24","Hypertensive heart disease","Number",2019,"Prevalence",19.7527765517079,76.6679345279909,43.4194560707808
"Colombia","Both","10 to 54","Hypertensive heart disease","Number",2019,"Incidence",498.94173295439,1325.91117120308,822.320516898644
"Colombia","Both","10 to 54","Hypertensive heart disease","Number",2019,"Prevalence",4096.73571508913,10886.857705687,6751.95039485139
"Colombia","Both","15-49 years","Hypertensive heart disease","Number",2019,"Incidence",250.960891061822,725.382854630412,445.563987810991
"Colombia","Both","15-49 years","Hypertensive heart disease","Number",2019,"Prevalence",1962.79017707362,5673.29170558078,3484.80041983006
"Colombia","Both","15 to 19","Hypertensive heart disease","Number",2019,"Incidence",0.535093851713826,2.69692795057872,1.36595182791104
"Colombia","Both","15 to 19","Hypertensive heart disease","Number",2019,"Prevalence",1.41874311157184,7.15061094429366,3.62167261010538
"Colombia","Both","15 to 39","Hypertensive heart disease","Number",2019,"Incidence",54.221825372775,230.353107834603,126.690195689382
"Colombia","Both","15 to 39","Hypertensive heart disease","Number",2019,"Prevalence",319.387596539218,1356.86921199768,746.254424821184
"Colombia","Both","20 plus","Hypertensive heart disease","Number",2019,"Incidence",6388.96612212563,12353.458220118,8920.35544105695
